household_id,hhincome_broad,vehicle_count
23003118,"$25,000-$49,999",1 vehicle
23007814,"$75,000-$99,999",2 vehicles
23007848,"$200,000 or more",1 vehicle
23008213,"$100,000-$199,999",2 vehicles
23008281,"$100,000-$199,999",1 vehicle
23008718,"$50,000-$74,999",1 vehicle
23008726,"$75,000-$99,999",1 vehicle
23013119,"$200,000 or more",1 vehicle
23021997,"$100,000-$199,999",3 vehicles
23023031,"$200,000 or more",1 vehicle
23023534,"$100,000-$199,999",0 (no vehicles)
23023571,"$50,000-$74,999",2 vehicles
23023627,"$100,000-$199,999",1 vehicle
23024392,"$50,000-$74,999",0 (no vehicles)
23024431,"$200,000 or more",2 vehicles
23024687,"$200,000 or more",1 vehicle
23003815,"$100,000-$199,999",2 vehicles
23017142,"$100,000-$199,999",1 vehicle
23013307,"$25,000-$49,999",1 vehicle
23017257,"$100,000-$199,999",2 vehicles
23010233,"Under $25,000",3 vehicles
23004329,"$200,000 or more",1 vehicle
23025844,"$100,000-$199,999",1 vehicle
23017346,"$200,000 or more",2 vehicles
23000828,"$200,000 or more",1 vehicle
23017356,"$100,000-$199,999",1 vehicle
23010371,"$75,000-$99,999",1 vehicle
23010421,"$100,000-$199,999",2 vehicles
23010629,"$100,000-$199,999",1 vehicle
23026247,"$200,000 or more",1 vehicle
23005595,"$75,000-$99,999",0 (no vehicles)
23001682,"$200,000 or more",1 vehicle
23001690,"$50,000-$74,999",2 vehicles
23018491,"$200,000 or more",1 vehicle
23026929,"$100,000-$199,999",1 vehicle
23027355,"$50,000-$74,999",0 (no vehicles)
23015304,"$50,000-$74,999",0 (no vehicles)
23015321,"$100,000-$199,999",3 vehicles
23027564,"$100,000-$199,999",1 vehicle
23005895,"$200,000 or more",1 vehicle
23005950,"$50,000-$74,999",0 (no vehicles)
23027776,"$50,000-$74,999",1 vehicle
23012007,"$200,000 or more",1 vehicle
23016190,"$100,000-$199,999",1 vehicle
23006400,"$100,000-$199,999",1 vehicle
23016261,"$50,000-$74,999",0 (no vehicles)
23028096,"$75,000-$99,999",2 vehicles
23019455,"$100,000-$199,999",2 vehicles
23028288,"$100,000-$199,999",1 vehicle
23028315,"$50,000-$74,999",1 vehicle
23012571,"$200,000 or more",1 vehicle
23020190,"$25,000-$49,999",1 vehicle
23013041,"$200,000 or more",1 vehicle
23051670,"$100,000-$199,999",1 vehicle
23052371,"$100,000-$199,999",2 vehicles
23052931,"$100,000-$199,999",1 vehicle
23053067,"$200,000 or more",1 vehicle
23053341,"$200,000 or more",0 (no vehicles)
23053445,"$50,000-$74,999",1 vehicle
23054129,"$100,000-$199,999",1 vehicle
23054467,"$100,000-$199,999",2 vehicles
23054633,"$200,000 or more",1 vehicle
23041944,"$100,000-$199,999",2 vehicles
23041960,"$50,000-$74,999",0 (no vehicles)
23042140,"$25,000-$49,999",1 vehicle
23042288,"$100,000-$199,999",0 (no vehicles)
23042790,"$200,000 or more",1 vehicle
23042804,"Under $25,000",0 (no vehicles)
23043084,"Under $25,000",1 vehicle
23043225,"$25,000-$49,999",2 vehicles
23043276,"$200,000 or more",1 vehicle
23048383,"$75,000-$99,999",1 vehicle
23048976,"$50,000-$74,999",0 (no vehicles)
23049135,"$200,000 or more",1 vehicle
23050483,"$25,000-$49,999",1 vehicle
23030147,"$100,000-$199,999",2 vehicles
23030178,"$200,000 or more",2 vehicles
23030930,"$200,000 or more",3 vehicles
23031052,"$50,000-$74,999",1 vehicle
23031117,"$75,000-$99,999",3 vehicles
23031966,"$200,000 or more",2 vehicles
23032100,"$50,000-$74,999",1 vehicle
23033135,"$200,000 or more",2 vehicles
23033218,"$100,000-$199,999",2 vehicles
23043755,"$50,000-$74,999",1 vehicle
23034334,"$200,000 or more",1 vehicle
23044001,"$25,000-$49,999",1 vehicle
23034481,"$100,000-$199,999",0 (no vehicles)
23044172,"$50,000-$74,999",1 vehicle
23044545,"$50,000-$74,999",1 vehicle
23045531,"$100,000-$199,999",1 vehicle
23045901,"$50,000-$74,999",0 (no vehicles)
23047378,"$200,000 or more",1 vehicle
23056824,"$50,000-$74,999",0 (no vehicles)
23034723,"$100,000-$199,999",1 vehicle
23038450,"$200,000 or more",2 vehicles
23057289,"$200,000 or more",2 vehicles
23057777,"$100,000-$199,999",2 vehicles
23039101,"$200,000 or more",1 vehicle
23036633,"$100,000-$199,999",1 vehicle
23036874,"$100,000-$199,999",3 vehicles
23058813,"$100,000-$199,999",2 vehicles
23036894,"$100,000-$199,999",1 vehicle
23040089,"$100,000-$199,999",3 vehicles
23059118,"$25,000-$49,999",1 vehicle
23059239,"$50,000-$74,999",1 vehicle
23076280,"$200,000 or more",2 vehicles
23076874,"$50,000-$74,999",0 (no vehicles)
23077549,"$25,000-$49,999",0 (no vehicles)
23077869,"$75,000-$99,999",2 vehicles
23077921,"$50,000-$74,999",2 vehicles
23078283,"$100,000-$199,999",2 vehicles
23079028,"$25,000-$49,999",1 vehicle
23079162,"Under $25,000",1 vehicle
23079597,"$100,000-$199,999",1 vehicle
23079943,"$100,000-$199,999",0 (no vehicles)
23080371,"$25,000-$49,999",1 vehicle
23081346,"$50,000-$74,999",0 (no vehicles)
23082345,"Under $25,000",0 (no vehicles)
23082757,"$25,000-$49,999",2 vehicles
23082922,"Under $25,000",0 (no vehicles)
23083468,"$100,000-$199,999",1 vehicle
23069057,"$75,000-$99,999",0 (no vehicles)
23069060,"$200,000 or more",1 vehicle
23089946,"$50,000-$74,999",0 (no vehicles)
23072827,"Under $25,000",0 (no vehicles)
23089967,"$200,000 or more",0 (no vehicles)
23064164,"Under $25,000",1 vehicle
23059620,"$25,000-$49,999",1 vehicle
23086158,"$100,000-$199,999",2 vehicles
23090697,"$100,000-$199,999",1 vehicle
23090734,"$100,000-$199,999",1 vehicle
23069862,"$100,000-$199,999",0 (no vehicles)
23069888,"Under $25,000",1 vehicle
23090779,"$75,000-$99,999",0 (no vehicles)
23073163,"Under $25,000",0 (no vehicles)
23090890,"Under $25,000",1 vehicle
23073304,"$100,000-$199,999",3 vehicles
23091018,"$200,000 or more",1 vehicle
23060429,"$200,000 or more",3 vehicles
23070319,"$25,000-$49,999",0 (no vehicles)
23073653,"$25,000-$49,999",0 (no vehicles)
23070385,"$50,000-$74,999",0 (no vehicles)
23087048,"$200,000 or more",1 vehicle
23091281,"$100,000-$199,999",1 vehicle
23073814,"$100,000-$199,999",1 vehicle
23060823,"$25,000-$49,999",0 (no vehicles)
23091418,"$25,000-$49,999",1 vehicle
23087068,"$100,000-$199,999",0 (no vehicles)
23060941,"$200,000 or more",2 vehicles
23061063,"$75,000-$99,999",0 (no vehicles)
23074536,"$25,000-$49,999",0 (no vehicles)
23087379,"Under $25,000",1 vehicle
23091986,"Under $25,000",0 (no vehicles)
23087615,"$100,000-$199,999",0 (no vehicles)
23092100,"$200,000 or more",0 (no vehicles)
23087662,"$100,000-$199,999",1 vehicle
23092143,"$100,000-$199,999",1 vehicle
23067071,"$200,000 or more",1 vehicle
23067082,"$25,000-$49,999",0 (no vehicles)
23087892,"$100,000-$199,999",3 vehicles
23088138,"$200,000 or more",1 vehicle
23062726,"$75,000-$99,999",1 vehicle
23088732,"$50,000-$74,999",1 vehicle
23075213,"$75,000-$99,999",0 (no vehicles)
23071945,"$50,000-$74,999",0 (no vehicles)
23068005,"Under $25,000",0 (no vehicles)
23072026,"$75,000-$99,999",1 vehicle
23068152,"$75,000-$99,999",0 (no vehicles)
23063329,"Under $25,000",0 (no vehicles)
23068165,"$25,000-$49,999",0 (no vehicles)
23075813,"$200,000 or more",2 vehicles
23072538,"$75,000-$99,999",0 (no vehicles)
23063662,"$50,000-$74,999",0 (no vehicles)
23068588,"$75,000-$99,999",1 vehicle
23072672,"$50,000-$74,999",1 vehicle
23099899,"$200,000 or more",1 vehicle
23100233,"$75,000-$99,999",1 vehicle
23100406,"$50,000-$74,999",0 (no vehicles)
23100477,"$25,000-$49,999",0 (no vehicles)
23101273,"$75,000-$99,999",1 vehicle
23101340,"$200,000 or more",1 vehicle
23101651,"Under $25,000",1 vehicle
23102415,"Under $25,000",0 (no vehicles)
23102738,"$25,000-$49,999",1 vehicle
23110865,"$100,000-$199,999",1 vehicle
23092634,"$100,000-$199,999",2 vehicles
23111406,"Under $25,000",0 (no vehicles)
23111413,"$200,000 or more",1 vehicle
23111732,"$75,000-$99,999",2 vehicles
23112731,"$25,000-$49,999",0 (no vehicles)
23112736,"$75,000-$99,999",0 (no vehicles)
23113168,"$50,000-$74,999",1 vehicle
23113309,"Under $25,000",1 vehicle
23113769,"$25,000-$49,999",1 vehicle
23113955,"$75,000-$99,999",1 vehicle
23114369,"$25,000-$49,999",0 (no vehicles)
23107439,"$50,000-$74,999",1 vehicle
23103802,"$25,000-$49,999",1 vehicle
23095078,"$25,000-$49,999",0 (no vehicles)
23092721,"$50,000-$74,999",1 vehicle
23097457,"$200,000 or more",2 vehicles
23104029,"$100,000-$199,999",1 vehicle
23104063,"$50,000-$74,999",0 (no vehicles)
23093108,"$200,000 or more",2 vehicles
23108458,"Under $25,000",0 (no vehicles)
23095268,"$75,000-$99,999",1 vehicle
23104320,"$100,000-$199,999",1 vehicle
23093406,"$100,000-$199,999",0 (no vehicles)
23104756,"$25,000-$49,999",0 (no vehicles)
23108718,"$25,000-$49,999",0 (no vehicles)
23104944,"$100,000-$199,999",0 (no vehicles)
23098007,"$100,000-$199,999",2 vehicles
23093591,"$200,000 or more",1 vehicle
23105059,"$75,000-$99,999",1 vehicle
23093683,"$25,000-$49,999",0 (no vehicles)
23105217,"$200,000 or more",1 vehicle
23095920,"$25,000-$49,999",1 vehicle
23098551,"$100,000-$199,999",0 (no vehicles)
23093905,"$200,000 or more",1 vehicle
23109187,"$200,000 or more",1 vehicle
23098613,"Under $25,000",0 (no vehicles)
23109270,"$75,000-$99,999",0 (no vehicles)
23098819,"$25,000-$49,999",1 vehicle
23093926,"$75,000-$99,999",0 (no vehicles)
23094078,"$25,000-$49,999",1 vehicle
23094145,"Under $25,000",0 (no vehicles)
23109643,"$100,000-$199,999",2 vehicles
23109803,"$100,000-$199,999",1 vehicle
23099380,"$100,000-$199,999",1 vehicle
23096577,"$100,000-$199,999",1 vehicle
23096635,"$25,000-$49,999",0 (no vehicles)
23099666,"$75,000-$99,999",1 vehicle
23110100,"$100,000-$199,999",1 vehicle
23094495,"$50,000-$74,999",1 vehicle
23110180,"$75,000-$99,999",1 vehicle
23094647,"$50,000-$74,999",1 vehicle
23110232,"$50,000-$74,999",1 vehicle
23106553,"$25,000-$49,999",0 (no vehicles)
23094736,"$25,000-$49,999",0 (no vehicles)
23099817,"$75,000-$99,999",1 vehicle
23107138,"$75,000-$99,999",1 vehicle
23107142,"Under $25,000",1 vehicle
23147365,"$75,000-$99,999",1 vehicle
23148390,"$25,000-$49,999",0 (no vehicles)
23148647,"$100,000-$199,999",1 vehicle
23136761,"$75,000-$99,999",1 vehicle
23149979,"$100,000-$199,999",2 vehicles
23150541,"$100,000-$199,999",2 vehicles
23150818,"Under $25,000",3 vehicles
23150885,"$50,000-$74,999",1 vehicle
23151238,"$200,000 or more",2 vehicles
23131110,"$75,000-$99,999",1 vehicle
23151352,"$75,000-$99,999",1 vehicle
23137347,"$50,000-$74,999",1 vehicle
23131347,"$50,000-$74,999",0 (no vehicles)
23151614,"Under $25,000",1 vehicle
23151628,"$100,000-$199,999",1 vehicle
23137450,"$100,000-$199,999",2 vehicles
23131649,"$200,000 or more",2 vehicles
23156082,"$50,000-$74,999",0 (no vehicles)
23142683,"$200,000 or more",1 vehicle
23132327,"$75,000-$99,999",1 vehicle
23142791,"$200,000 or more",2 vehicles
23132795,"$200,000 or more",2 vehicles
23132814,"$100,000-$199,999",1 vehicle
23156716,"$25,000-$49,999",2 vehicles
23156721,"$100,000-$199,999",2 vehicles
23152615,"$100,000-$199,999",3 vehicles
23153120,"$100,000-$199,999",1 vehicle
23156970,"$100,000-$199,999",2 vehicles
23133248,"$75,000-$99,999",1 vehicle
23144047,"$50,000-$74,999",4 vehicles
23153489,"$200,000 or more",3 vehicles
23138542,"$100,000-$199,999",4 vehicles
23157025,"$100,000-$199,999",0 (no vehicles)
23153568,"$100,000-$199,999",2 vehicles
23138660,"$50,000-$74,999",2 vehicles
23138757,"$75,000-$99,999",2 vehicles
23139770,"Under $25,000",1 vehicle
23157696,"$100,000-$199,999",2 vehicles
23135240,"$75,000-$99,999",2 vehicles
23139969,"$100,000-$199,999",1 vehicle
23135375,"$75,000-$99,999",1 vehicle
23135389,"$50,000-$74,999",1 vehicle
23153991,"$100,000-$199,999",2 vehicles
23140081,"$100,000-$199,999",1 vehicle
23135578,"$50,000-$74,999",0 (no vehicles)
23154178,"$100,000-$199,999",2 vehicles
23154343,"$75,000-$99,999",2 vehicles
23135823,"Under $25,000",1 vehicle
23140178,"$100,000-$199,999",3 vehicles
23145052,"$200,000 or more",3 vehicles
23135910,"$25,000-$49,999",2 vehicles
23136208,"$50,000-$74,999",0 (no vehicles)
23158323,"$100,000-$199,999",1 vehicle
23158417,"$25,000-$49,999",0 (no vehicles)
23154716,"$200,000 or more",2 vehicles
23130565,"$50,000-$74,999",1 vehicle
23136512,"$100,000-$199,999",1 vehicle
23130744,"$100,000-$199,999",2 vehicles
23136722,"$25,000-$49,999",1 vehicle
23141630,"$75,000-$99,999",2 vehicles
23124384,"$100,000-$199,999",1 vehicle
23146097,"$200,000 or more",2 vehicles
23146865,"$25,000-$49,999",1 vehicle
23158862,"Under $25,000",0 (no vehicles)
23155439,"$100,000-$199,999",2 vehicles
23155506,"$200,000 or more",1 vehicle
23159120,"$75,000-$99,999",1 vehicle
23159999,"$50,000-$74,999",1 vehicle
23141879,"$25,000-$49,999",0 (no vehicles)
23169964,"$100,000-$199,999",1 vehicle
23169994,"$200,000 or more",0 (no vehicles)
23170358,"$50,000-$74,999",0 (no vehicles)
23170689,"$100,000-$199,999",3 vehicles
23171692,"Under $25,000",1 vehicle
23164793,"$25,000-$49,999",1 vehicle
23171798,"$75,000-$99,999",1 vehicle
23172199,"$25,000-$49,999",1 vehicle
23180127,"$50,000-$74,999",0 (no vehicles)
23160251,"$50,000-$74,999",2 vehicles
23173759,"$25,000-$49,999",0 (no vehicles)
23173828,"$50,000-$74,999",1 vehicle
23174893,"Under $25,000",0 (no vehicles)
23175254,"$75,000-$99,999",2 vehicles
23199622,"$100,000-$199,999",1 vehicle
23165095,"$200,000 or more",1 vehicle
23180218,"$25,000-$49,999",3 vehicles
23187459,"$25,000-$49,999",1 vehicle
23165144,"$100,000-$199,999",2 vehicles
23195177,"$100,000-$199,999",1 vehicle
23187774,"$25,000-$49,999",0 (no vehicles)
23165156,"$100,000-$199,999",3 vehicles
23199877,"$75,000-$99,999",0 (no vehicles)
23187986,"$25,000-$49,999",1 vehicle
23195397,"$75,000-$99,999",1 vehicle
23199929,"$100,000-$199,999",1 vehicle
23160732,"$100,000-$199,999",1 vehicle
23188864,"$50,000-$74,999",1 vehicle
23195594,"$25,000-$49,999",1 vehicle
23175960,"$50,000-$74,999",1 vehicle
23160843,"$50,000-$74,999",1 vehicle
23165521,"$50,000-$74,999",2 vehicles
23200239,"$25,000-$49,999",1 vehicle
23200553,"Under $25,000",0 (no vehicles)
23189001,"$50,000-$74,999",1 vehicle
23176262,"$25,000-$49,999",0 (no vehicles)
23189237,"$25,000-$49,999",1 vehicle
23200559,"$100,000-$199,999",1 vehicle
23195954,"Under $25,000",0 (no vehicles)
23189706,"$25,000-$49,999",0 (no vehicles)
23181306,"$25,000-$49,999",1 vehicle
23200810,"$50,000-$74,999",0 (no vehicles)
23189716,"$50,000-$74,999",1 vehicle
23195957,"$25,000-$49,999",1 vehicle
23161766,"$100,000-$199,999",3 vehicles
23189766,"$25,000-$49,999",0 (no vehicles)
23177095,"$25,000-$49,999",0 (no vehicles)
23181532,"$75,000-$99,999",2 vehicles
23200910,"$75,000-$99,999",1 vehicle
23196127,"$50,000-$74,999",0 (no vehicles)
23181600,"$25,000-$49,999",1 vehicle
23190034,"$25,000-$49,999",1 vehicle
23201036,"Under $25,000",0 (no vehicles)
23190167,"$200,000 or more",3 vehicles
23196606,"$200,000 or more",1 vehicle
23177255,"$200,000 or more",0 (no vehicles)
23190379,"$25,000-$49,999",1 vehicle
23181798,"$100,000-$199,999",2 vehicles
23196629,"Under $25,000",0 (no vehicles)
23190423,"$100,000-$199,999",2 vehicles
23201516,"$200,000 or more",0 (no vehicles)
23181943,"$50,000-$74,999",2 vehicles
23196692,"$200,000 or more",2 vehicles
23190613,"$25,000-$49,999",1 vehicle
23162062,"$200,000 or more",2 vehicles
23196987,"Under $25,000",0 (no vehicles)
23182395,"Under $25,000",0 (no vehicles)
23182415,"$75,000-$99,999",1 vehicle
23197052,"Under $25,000",2 vehicles
23191574,"$50,000-$74,999",1 vehicle
23166824,"$50,000-$74,999",1 vehicle
23191636,"Under $25,000",0 (no vehicles)
23177907,"$25,000-$49,999",0 (no vehicles)
23202696,"$50,000-$74,999",2 vehicles
23197272,"$75,000-$99,999",1 vehicle
23167034,"$100,000-$199,999",1 vehicle
23202907,"$25,000-$49,999",0 (no vehicles)
23192808,"Under $25,000",0 (no vehicles)
23183549,"$75,000-$99,999",1 vehicle
23197596,"$25,000-$49,999",1 vehicle
23184022,"$200,000 or more",1 vehicle
23192982,"$25,000-$49,999",0 (no vehicles)
23167215,"$100,000-$199,999",2 vehicles
23193322,"$75,000-$99,999",0 (no vehicles)
23197751,"$100,000-$199,999",2 vehicles
23203380,"Under $25,000",1 vehicle
23184486,"$25,000-$49,999",0 (no vehicles)
23194164,"$25,000-$49,999",0 (no vehicles)
23178268,"Under $25,000",0 (no vehicles)
23204209,"$25,000-$49,999",1 vehicle
23184551,"$100,000-$199,999",0 (no vehicles)
23194460,"Under $25,000",0 (no vehicles)
23197948,"Under $25,000",0 (no vehicles)
23184568,"Under $25,000",0 (no vehicles)
23194475,"$25,000-$49,999",1 vehicle
23204525,"$100,000-$199,999",0 (no vehicles)
23178310,"$100,000-$199,999",1 vehicle
23194613,"$25,000-$49,999",1 vehicle
23184873,"Under $25,000",0 (no vehicles)
23168123,"$100,000-$199,999",2 vehicles
23185065,"Under $25,000",0 (no vehicles)
23198115,"$50,000-$74,999",3 vehicles
23178610,"$50,000-$74,999",2 vehicles
23178640,"$75,000-$99,999",1 vehicle
23198126,"$200,000 or more",2 vehicles
23178723,"Under $25,000",1 vehicle
23198315,"$100,000-$199,999",1 vehicle
23198588,"$50,000-$74,999",0 (no vehicles)
23198677,"$75,000-$99,999",0 (no vehicles)
23204829,"$75,000-$99,999",1 vehicle
23198749,"$100,000-$199,999",0 (no vehicles)
23198906,"$25,000-$49,999",0 (no vehicles)
23169889,"$100,000-$199,999",2 vehicles
23179894,"Under $25,000",0 (no vehicles)
23199287,"$50,000-$74,999",1 vehicle
23239379,"$50,000-$74,999",2 vehicles
23204978,"$100,000-$199,999",1 vehicle
23235969,"$100,000-$199,999",3 vehicles
23237511,"$25,000-$49,999",3 vehicles
23243384,"$200,000 or more",3 vehicles
23222034,"$100,000-$199,999",1 vehicle
23214765,"$50,000-$74,999",0 (no vehicles)
23205450,"$100,000-$199,999",2 vehicles
23222116,"Under $25,000",0 (no vehicles)
23205468,"$200,000 or more",1 vehicle
23215215,"$200,000 or more",2 vehicles
23215575,"$50,000-$74,999",1 vehicle
23215872,"$200,000 or more",0 (no vehicles)
23215952,"$25,000-$49,999",0 (no vehicles)
23216822,"$100,000-$199,999",1 vehicle
23216854,"$100,000-$199,999",0 (no vehicles)
23217482,"$100,000-$199,999",2 vehicles
23217496,"$50,000-$74,999",0 (no vehicles)
23218042,"$200,000 or more",1 vehicle
23218226,"Under $25,000",0 (no vehicles)
23218402,"$75,000-$99,999",2 vehicles
23219190,"$200,000 or more",1 vehicle
23219245,"$200,000 or more",0 (no vehicles)
23219822,"$200,000 or more",0 (no vehicles)
23220745,"$75,000-$99,999",1 vehicle
23205518,"$50,000-$74,999",1 vehicle
23205899,"$100,000-$199,999",2 vehicles
23209905,"$25,000-$49,999",0 (no vehicles)
23222358,"$75,000-$99,999",0 (no vehicles)
23222696,"Under $25,000",0 (no vehicles)
23210030,"$75,000-$99,999",2 vehicles
23222808,"$25,000-$49,999",1 vehicle
23206187,"$100,000-$199,999",1 vehicle
23223047,"$50,000-$74,999",1 vehicle
23210449,"$25,000-$49,999",0 (no vehicles)
23210752,"$200,000 or more",2 vehicles
23228978,"$50,000-$74,999",1 vehicle
23211176,"$75,000-$99,999",1 vehicle
23207304,"$50,000-$74,999",1 vehicle
23207309,"$50,000-$74,999",1 vehicle
23224634,"$75,000-$99,999",2 vehicles
23207375,"$200,000 or more",1 vehicle
23211721,"$100,000-$199,999",0 (no vehicles)
23207457,"$100,000-$199,999",1 vehicle
23247796,"$100,000-$199,999",2 vehicles
23211951,"$200,000 or more",2 vehicles
23208062,"$75,000-$99,999",1 vehicle
23208271,"$200,000 or more",1 vehicle
23208284,"$75,000-$99,999",1 vehicle
23225509,"$100,000-$199,999",2 vehicles
23212524,"$100,000-$199,999",0 (no vehicles)
23212610,"$75,000-$99,999",0 (no vehicles)
23212976,"$25,000-$49,999",0 (no vehicles)
23213678,"$200,000 or more",0 (no vehicles)
23213814,"$50,000-$74,999",1 vehicle
23213937,"$75,000-$99,999",1 vehicle
23214001,"$100,000-$199,999",2 vehicles
23303161,"$200,000 or more",1 vehicle
23272383,"$100,000-$199,999",1 vehicle
23287962,"$50,000-$74,999",1 vehicle
23303881,"$200,000 or more",1 vehicle
23304559,"$50,000-$74,999",4 vehicles
23305150,"$200,000 or more",3 vehicles
23305450,"$200,000 or more",2 vehicles
23251318,"$200,000 or more",1 vehicle
23290621,"$50,000-$74,999",1 vehicle
23251831,"$50,000-$74,999",5 vehicles
23275022,"$200,000 or more",1 vehicle
23276330,"$100,000-$199,999",1 vehicle
23293899,"$25,000-$49,999",1 vehicle
23278030,"$100,000-$199,999",2 vehicles
23262376,"$25,000-$49,999",1 vehicle
23279180,"$100,000-$199,999",1 vehicle
23263634,"$100,000-$199,999",2 vehicles
23366240,"$100,000-$199,999",1 vehicle
23318209,"$100,000-$199,999",1 vehicle
23319664,"$100,000-$199,999",1 vehicle
23320424,"$100,000-$199,999",1 vehicle
23321230,"$200,000 or more",4 vehicles
23366303,"$200,000 or more",1 vehicle
23311609,"$75,000-$99,999",2 vehicles
23327190,"Under $25,000",2 vehicles
23327463,"$200,000 or more",3 vehicles
23334537,"Under $25,000",0 (no vehicles)
23334671,"$25,000-$49,999",2 vehicles
23368988,"$25,000-$49,999",1 vehicle
23353862,"$100,000-$199,999",1 vehicle
23328772,"$100,000-$199,999",0 (no vehicles)
23336125,"$50,000-$74,999",0 (no vehicles)
23370787,"$75,000-$99,999",2 vehicles
23329630,"$100,000-$199,999",1 vehicle
23329867,"$200,000 or more",2 vehicles
23343415,"Under $25,000",0 (no vehicles)
23330382,"$100,000-$199,999",1 vehicle
23359819,"$200,000 or more",2 vehicles
23316125,"$75,000-$99,999",2 vehicles
23356974,"$200,000 or more",0 (no vehicles)
23357477,"$25,000-$49,999",1 vehicle
23341557,"$200,000 or more",0 (no vehicles)
23332761,"Under $25,000",0 (no vehicles)
23374986,"$25,000-$49,999",0 (no vehicles)
23346649,"$25,000-$49,999",0 (no vehicles)
23364255,"Under $25,000",0 (no vehicles)
23365708,"Under $25,000",0 (no vehicles)
23396739,"Under $25,000",0 (no vehicles)
23398257,"$75,000-$99,999",1 vehicle
23375234,"Under $25,000",3 vehicles
23400707,"$100,000-$199,999",1 vehicle
23384997,"$50,000-$74,999",1 vehicle
23375730,"$75,000-$99,999",1 vehicle
23392002,"Under $25,000",0 (no vehicles)
23404286,"$200,000 or more",2 vehicles
23376511,"Under $25,000",0 (no vehicles)
23386838,"$50,000-$74,999",0 (no vehicles)
23380002,"$100,000-$199,999",1 vehicle
23388066,"$200,000 or more",2 vehicles
23388253,"$50,000-$74,999",1 vehicle
23382596,"$100,000-$199,999",0 (no vehicles)
23389943,"$25,000-$49,999",1 vehicle
